            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , AEO+SEO (ANSWER/SEARCH ENGINE OPTIMIZATION) DE CIDADES                       ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , AGENDA PÚBLICA DAS ATIVIDADES CORRIQUEIRAS                                   ,                         ,                               , "ICS, FORMATO AGENDA: PUBLICO ESPECÍFICO: EVANGELIZAÇÃO, JUVENTUDE, PALESTRAS, "                                                                                                                            ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , AGILIZAR DOCUMENTAÇÃO DE NOVIDADES                                           ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , APRIMORAR TEMA/ESTILO DAS TAREFAS                                            ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , Aumentar ACESSIBILIDADE                                                      ,                         ,                               , "VLIBRAS, CONTRASTE, AUDITIVA "                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , Aumentar ACESSIBILIDADE                                                      ,                         ,                               , CONTRASTE                                                                                                                                                                                                   , https://www.gov.br/governodigital/pt-br/acessibilidade-e-usuario/vlibras                                                                       , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , AUTOMAÇÃO CIDADE/DISTRITO/CRE/REVISOR/APOIO                                  ,                         ,                               , "Facilitar que determinados campos sejam preenchidos automaticamente, e com isso, automações possam ser construídas"                                                                                        , espaço cre                                                                                                                                     , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , BLOG: ARTIGOS DESCREVENDO TAREFAS E ATIVIDADES DA CASA                       ,                         ,                               , Inspirar o público a se tornar tarefeiro                                                                                                                                                                    , "DESCREVER A TAREFA E O IMPACTO SOCIAL/INSTITUCIONAL/INDIVIDUAL, SUA RELAÇÃO COM ÁREAS FEDERATIVAS, ATENDIMENTO AO PLANO DE TRABALHO, OCE, ...", 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , BOTÃO PARA RECOMENDAR CASAS ESPÍRITA                                         ,                         ,                               , "NOTIFICA UM DIVULGADOR PRÓXIMO, PARA QUE ELE APRESENTA O SITE PARA UMA CASA"                                                                                                                               ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , CENSO 2022 - RELACIONAR INFORMAÇÕES COM CASAS ESPÍRITAS                      ,                         ,                               , Permitir que os CREs possam desenvolver projetos com base no conhecimento demográfico da região                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , Controle de Usuário e Senha para Registros                                   ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , CRIAR ESPAÇO PARA 'DOAÇÃO' ?                                                 ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , CRIAR MAPA DE JORNADA DO VISITANTE DO SITE                                   ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , DIVULGAÇÃO DAS ATIVIDADES EM FORMATOS VARIADOS                               ,                         ,                               , "Inspirar o usuário a participar do voluntariado, Espaço de ""carrosel"" para apresentar atividades das casas espíritas"                                                                                    ,                                                                                                                                                , 
            ,                    ,                        , CASAS ESPÍRITAS    ,      ,             ,       , ESPAÇO AMEs / órgãos municipais                                                                 ,                         ,                               , "Facilitar acompanhamento das Casas a partir da ""unidade"" da AME: inscrição, listagem, página própria, contato, documentos instrução, ..."                                                                , 65 ESPAÇO AME                                                                                                                                  , 
